"id","nombre","fecha_genero","eliminado","codigo","marca","unidad"
29578,"Niple 3/4""x 4""Long Ced. 40 S/Cost sodable-soldable ASTM A106 GrB Negro ","2024-09-24",False,"NPL3/4X4SCH40A106GB","S/M","Pieza"
1,"Artículo de prueba","2022-04-27",False,"N/A",NULL,"Pieza"
29835,"Cople mariposa latón hembra 3/8” No de parte 3WF3-B","2024-12-03",False,"TPC006","DIXON","Pieza"
29836,"Cople mariposa latón hembra 3/4” No de parte 6WBF6-B","2024-12-03",False,"TPC006","DIXON","Pieza"
29837,"Cople mariposa latón hembra 1” No de parte 8WF8-B","2024-12-03",False,"TPC006","DIXON","Pieza"
29860,"Polly pig de secado 22"" Mod. LP-LB-22","2024-12-09",False,"TCN030","LIMPRO","Pieza"
29861,"Polly pig de secado 24"" Mod. LP-LB-24","2024-12-09",False,"TCN030","LIMPRO","Pieza"
29912,"Tapa Rigida Serie-W Protectora de Niple Unión de Rosca Intercambio Mariposa de 3/4"" mod W6DC cuerda cable de acero, cuerpo acero","2025-01-08",False,"TPC002","DIXON","Pieza"
29918,"Eslinga Plana de Polipropileno de 4"" x 4 M de 4 Capas","2025-01-13",False,"TEP011",NULL,"Pieza"
29919,"Eslinga Plana de Polipropileno de 4"" x 6 M de 4 Capas","2025-01-13",False,"TEP011",NULL,"Pieza"
29579,"Roll pin 1/8'' x 2.00'' ","2024-09-25",False,"ROLLPIN1/8X2","S/M","Pieza"
29839,"Cople mariposa latón hembra 1 ½” No de parte 12WF12-B  ","2024-12-03",False,"TPC006","DIXON","Pieza"
29838,"Cople mariposa latón hembra 1 ¼” No de parte 10WF10-B   ","2024-12-03",False,"TPC006","DIXON","Pieza"
29862,"Relevador auxiliar lateral 1NO/1NA  3RH229211DA11 
","2024-12-09",False,"TRF024","SIEMENS","Pieza"
29913,"Esparrago 1 1/2"" long 12"" ASTM A-193 GR. B7M c/2 tuercas hexag. ASTM-A-194 GR. 2HM Cadminizado","2025-01-08",False,"TCN027","S/M","Pieza"
29920,"Garras de Izaje Vertical con Bisagra – Ideal para Levantamiento de placas","2025-01-13",False,"THR024",NULL,"Pieza"
29921,"Garras Horizontales Para izaje y traslado horizontal - con sistema de pre-tensionado código: IPHNM10","2025-01-13",False,"THR024",NULL,"Pieza"
29923,"Kit de taladro/desarmador inalámbrico (CMCD700C1) - V20","2025-01-13",False,"THR004","CRAFTSMAN","Pieza"
29924,"Juego de 5 desarmadores, mangos Comfort Grip DTJ-5B","2025-01-13",False,"THR025","TRUPER","Pieza"
29922,"Juego De Pinzas 5 Piezas Pretul 22971","2025-01-13",False,"THR027",NULL,"Pieza"
29925,"Juego de puntas para desarmador 45 piezas","2025-01-13",False,"THR025","DEWALT","Pieza"
29926,"Candado ANSI 40-1, paso 0.500'' sencillo, material: acero al carbón","2025-01-13",False,"GCN016","S/M","Pieza"
29927,"Medio candado ANSI 40-1, paso 0.500'' sencillo, material: acero al carbón","2025-01-13",False,"GCN016","S/M","Pieza"
1101,"Sockolet 300# 12-8 x 1 1/2"" astm a-105 asme b16.11","2023-05-03",False,"",NULL,"Pieza"
25124,"Abrazadera s/f inox de 5","2023-08-11",False,"AHT-0063","S/M","Pieza"
29580,"Conector / adaptador recto extremo macho de 1/2” NPT X extremo macho de 3/4” JIC Mat.: Acero al carbono","2024-09-25",False,"CNT1/2X3/4AC","S/M","Pieza"
29581,"Conector /adaptador recto macho de 1/2” NPT Mat.: Acero al  carbono ","2024-09-25",False,"CNT1/2NPTAC","S/M","Pieza"
29582,"Válvula de bola de 6000 PSI (420 bar) conexión hembra de 1/2” NPT (Mod. KHB-16NPT-1114-06-XA)","2024-09-25",False,"VLV1/2NPTX6000","HYDAC","Pieza"
29583,"Calibración Indicador de Carátula","2024-09-25",False,"CALINDCART","S/M","SRV"
29584,"Calibración Tacómetro","2024-09-25",False,"CALBTACOMTR","S/M","SRV"
1102,"Rueda abrasiva de 180x 13x 1.75 mm de grano fino para rectificar clave","2023-05-03",False,"",NULL,"Pieza"
29585,"Calibración Goniómetro","2024-09-25",False,"CALBGNMTR","S/M","SRV"
29447,"Tubo 2"" Ced 40 acero al carbono A106B","2024-09-03",False,"GPC001","S/M","Pieza"
1103,"Rueda abrasiva de 150x 13x 31.7 mm de grano grueso para rectificar","2023-05-03",False,"",NULL,"Pieza"
29840,"Traslado en plana tipo HIAB con límite en pesos y dimensiones legales","2024-12-03",False,"TLG004","S/M","SRV"
26801,"Resorte de acero inoxidable aisi 316,diametro externo: 0.302"", espesor de alambre 0.027"",altura 1.810"" numero de vueltas:16,extremos cerrados ,direccion de enrollado:derecha ,paso constante","2023-08-11",False,"GCN029","S/M","Pieza"
26389,"Junta cgi de 2"" clase 300/600","2023-08-11",False,"TCN004","S/M","Pieza"
25092,"Blind flange kit","2023-08-11",False,"ALK-0001","S/M","Pieza"
26438,"Junta l/asbesto de 8 clase 600","2023-08-11",False,"TCN004","S/M","Pieza"
29928,"Opresor punta plana de 1/4''-20h UNC X 3/8'' long., material: acero al carbón","2025-01-13",False,"GTR011","S/M","Pieza"
29929,"Detector multi gases MSA ALTAIR 4XR (CH4, O2, H2S, CO)","2025-01-13",False,"THR002","S/M","Pieza"
29930,"Respirador de media máscara LPR-100 con alivio de molestias y OV. Máscara respiradora de soldadura P100 con filtros.","2025-01-13",False,"TEP009","MILLER","Pieza"
29586,"Solera de acero 1018 1.00"" x 3.00""","2024-09-25",False,"SOL1X3-1018","S/M","Pieza"
29587,"Solera de acero 1018 0.750"" x 2.00''","2024-09-25",False,"SOL.750X2-1018","S/M","Pieza"
29588,"Barra sólida de acero 1018 Diámetro 3.00''","2024-09-25",False,"BARRASOL3""-1018","S/M","Pieza"
29589,"Barra sólida bronce . 500""  SAE62 ","2024-09-25",False,"BARRASOL.500""-SAE62","S/M","Pieza"
29590,"Positest detector holiday, kid HHD defelsco, con gusano de :22"" y 24""","2024-09-25",False,"POSTST22/24","TWILIGHT","Kit"
29591,"Cortador Lateral de 6"" ","2024-09-25",False,"TAF005","S/M","Pieza"
29592,"Fabricación de Broca Multi Seguros de acuerdo a órden de trabajo","2024-09-25",False,"TAF006","S/M","Pieza"
29841,"Tubería de acero al carbono 30"" de acuerdo con especificación API-5L Gr B PSL2 con costura longitudinal recta y extremos biselados para soldar, espesor 1.125”","2024-12-03",False,"TPC001","S/M","Mt(s)"
29842,"Tubería de acero al carbono 36"" de acuerdo con especificación API 5L PSL 2 Gr. X52 con costura longitudinal recta y extremos biselados para soldar, espesor 1""","2024-12-03",False,"TPC001","S/M","Mt(s)"
29843,"Tubería de acero al carbono 16"" de acuerdo con especificación API-5L Gr B PSL2 sin costura y extremos biselados para soldar, espesor 0.688""","2024-12-03",False,"TPC001","S/M","Mt(s)"
29844,"Tubería de acero al carbono 20"" de acuerdo con especificación API-5L Gr B PSL2 sin costura y extremos biselados para soldar, espesor 0.875""","2024-12-03",False,"TPC001","S/M","Mt(s)"
29845,"Tubería de acero al carbono 24"" de acuerdo con especificación API-5L PSL2 GR X52 sin costura y extremos biselados para soldar, espesor 1.0""","2024-12-03",False,"TPC001","S/M","Mt(s)"
